region,name,address,phone,hours,is_24h,has_night,has_sunday,has_holiday,,
서울,로잔동물의료센터,서울 관악구 관악로29길 3,0507-1457-7589,"평일 10:00 - 20:00
토 10:00 - 20:00
일, 공휴일 휴무

휴게시간 13:00 - 14:00",FALSE,FALSE,FALSE,FALSE,,8시 이후 = 야간진료
서울,서울대학교관악캠퍼스수의대부속동물병원,서울 관악구 관악로 1,02-880-8661,"월 9:00 - 18:00
화-금 9:00 - 24:00
주말, 공휴일 휴무",TRUE,TRUE,FALSE,FALSE,,
서울,한성동물병원,서울 관악구 신림로 265,02-872-7609,"월-토 10:00 - 19:00
일, 공휴일 휴무

휴게시간 13:00 - 14:00",FALSE,FALSE,FALSE,FALSE,,
서울,노룬산동물병원,서울 광진구 뚝섬로 462 정천빌딩,02-464-2748,"평일 10:00 - 19:00
토 10:00 - 17:00
일, 공휴일 휴무

휴게시간 12:00 - 13:00",FALSE,FALSE,FALSE,FALSE,,
서울,아크리스동물의료센터,서울 강남구 봉은사로104길 10 동화빌딩 3층,02-583-7582,"월, 화, 금, 토 10:00 - 19:00
수, 목, 일, 공휴일 휴무

휴게시간 12:30 - 13:30",FALSE,FALSE,FALSE,FALSE,,
서울,대형동물병원,서울 강북구 한천로 1135,02-998-1785,"월-토 9:30 - 18:30
일, 공휴일 휴무

휴게시간 12:30 - 14:00",FALSE,FALSE,FALSE,FALSE,,
서울,창문동물병원,서울 강북구 월계로 35 창문동물병원,02-988-0251,"월-토 9:30 - 19:00
공휴일 9:30 - 15:00
일요일 휴무

휴게시간 13:00 - 14:00",FALSE,FALSE,FALSE,TRUE,,
서울,나음동물의료센터,서울 강서구 강서로 206 1층 101호,0507-1432-0042,"평일 10:00 - 21:00
주말 10:00 - 19:00
공휴일 휴무",FALSE,TRUE,FALSE,FALSE,,
서울,미소동물의료센터,경기 김포시 유현로 242 신유베라트 205호,02-2603-0075,"평일 10:00 - 19:00
토 10:00 - 17:00
일요일 휴무",FALSE,FALSE,FALSE,TRUE,,
서울,세명동물병원,서울 강서구 강서로 17길 52,02-2604-3584,"평일 09:30 - 20:00
토 09:30 - 15:00
일요일 휴무

휴게시간 13:00 - 14:00",FALSE,FALSE,FALSE,FALSE,,
서울,24시지구촌동물메디컬센터,서울 구로구 구로중앙로 107 A동 B층 101호,0507-1401-7582,"매일 00:00 - 24:00

휴게시간 13:00 - 14:00
휴게시간 17:30 - 18:30",TRUE,TRUE,TRUE,TRUE,,
서울,클로버동물병원,서울 구로구 서해안로 2096,02-2687-7582,"평일 10:00 - 19:30
토 10:00 - 18:00
일, 공휴일 휴무

휴게시간 13:00 - 14:00",FALSE,FALSE,FALSE,FALSE,,
서울,한샘종합동물병원,서울 구로구 경인로40길 25 청실아파트 상가 2층,02-2681-7585,"평일 09:30 - 19:10
토 09:30 - 18:00
일요일 휴무",FALSE,FALSE,FALSE,FALSE,,
서울,제일종합동물병원,서울 금천구 독산로 58,02-894-3030,정보 없음,FALSE,FALSE,FALSE,FALSE,,
서울,닥터스종합동물병원,서울 노원구 월계로 336 상천빌딩 1층 닥터스종합동물병원,02-905-7588,"매일 10:00 - 21:00

휴게시간 12:30 - 13:30
휴게시간 17:30 - 18:30",TRUE,TRUE,TRUE,TRUE,,
서울,수락동물병원,서울 노원구 동일로 1622,02-938-8575,"월, 화, 목, 금 10:00 - 19:00
수 10:00 - 14:00
토 10:00 - 18:00
일요일 휴무",FALSE,FALSE,FALSE,FALSE,,
